# Pixel Table for instrument ALFOSC, disperser: Grating #4
# order = 3
#
# Pixel    Wavelength [Å]
   471.50    3889.75
   497.14    3965.84
   517.33    4027.33
   632.93    4390.08
   658.50    4472.73
   732.49    4714.47
   795.49    4923.31
   822.50    5017.07
   935.35    5402.06
  1039.66    5766.02
  1064.92    5854.12
  1090.92    5946.48
  1114.76    6031.66
  1127.49    6076.03
  1133.59    6097.86
  1146.80    6144.77
  1152.77    6165.30
  1167.64    6219.00
  1181.46    6268.23
  1191.59    6306.54
  1200.46    6336.19
  1248.44    6508.33
  1255.98    6534.70
  1274.12    6600.78
  1296.10    6680.05
  1306.82    6718.90
  1365.49    6931.39
  1393.76    7034.36
  1402.77    7067.14
  1432.50    7175.92
  1452.11    7247.16
  1461.83    7283.36
  1504.89    7440.95
  1518.48    7490.93
  1531.93    7537.85
  1693.44    8138.64
  1737.53    8302.61
  1758.52    8379.91
  1790.45    8497.70
  1832.33    8656.77
  1866.36    8783.03
  1886.67    8856.30
  1903.08    8921.95
  1963.61    9151.20
