# Extracted 1D spectrum from 1d_std_0003881849-20230707-OSIRIS-OsirisLongSlitSpectroscopy.dat
# Wavelength Flux Variance
3598.6926842159673 0.0 27.535366882000517
3600.744282019041 7880.761810274393 7920.954813891989
3602.7958798221143 7589.312442902816 7629.303990554773
3604.847477625188 8051.809318619662 8092.285036593179
3606.8990754282618 7902.721559131422 7942.805889548351
3608.9506732313353 7927.459769982322 7966.979623460683
3611.0022710344087 8186.383351135054 8226.30015514763
3613.0538688374822 8063.11695263459 8102.772599673373
3615.1054666405557 8195.498101580237 8235.565977475006
3617.157064443629 8423.629305525908 8463.93542112062
3619.2086622467027 8402.933806679965 8442.395831068334
3621.260260049776 8429.166919365523 8469.142941050352
3623.31185785285 9052.314251208507 9092.497992917699
3625.3634556559236 8950.411055778544 8990.73363867293
3627.415053458997 9324.328315254392 9364.530007510644
3629.4666512620706 9110.728307722446 9151.222004768615
3631.518249065144 9144.285657679895 9183.89659270359
3633.5698468682176 9424.739650609146 9464.555062478594
3635.621444671291 9432.847308922846 9473.135937301055
3637.6730424743646 9796.467829448826 9836.364167207905
3639.7246402774385 9900.57165835268 9940.629069499033
3641.776238080512 10152.155432129783 10192.458566228783
3643.8278358835855 10049.000781350687 10088.611740036607
3645.879433686659 10315.48926716029 10355.799155904542
3647.9310314897325 10435.7075620647 10475.781236866605
3649.982629292806 10351.655940592238 10391.17057264314
3652.0342270958795 10594.337109621885 10634.660016759808
3654.085824898953 10607.332746526885 10648.115757338677
3656.137422702027 10979.484016923449 11019.287313209481
3658.1890205051004 10946.604755073273 10987.350890303922
3660.240618308174 11058.423054382689 11098.75856185447
3662.2922161112474 10882.457033963876 10922.664290758037
3664.343813914321 11178.548183116227 11218.805460729074
3666.3954117173944 11390.16204985388 11430.751156622408
3668.447009520468 11406.807704565303 11446.977136536407
3670.4986073235414 11642.931057867618 11683.441607764586
3672.5502051266153 12015.889932806556 12056.06323822768
3674.601802929689 12096.61224777283 12137.047443367364
3676.6534007327623 12443.039615659416 12483.495682447572
3678.704998535836 13042.863751650482 13083.630950614464
3680.7565963389093 12632.25394672359 12673.186935423917
3682.8081941419828 12641.617798275587 12681.885794161855
3684.8597919450563 12794.197016569056 12834.487541846966
3686.91138974813 12886.740298579756 12927.20229594332
3688.9629875512037 13150.65925531205 13191.06339889502
3691.014585354277 13590.767734770345 13631.515852051614
3693.0661831573507 13406.368459302199 13446.591902727414
3695.117780960424 14014.70570199721 14055.71874627109
3697.1693787634977 13999.157866835956 14039.712095292247
3699.220976566571 13900.826696152108 13941.346676249856
3701.2725743696446 14077.87767511471 14118.493190144718
3703.3241721727186 14542.556767253445 14583.381012821288
3705.375769975792 14379.505845002339 14420.114117354427
3707.4273677788656 14354.41197324144 14394.72445158982
3709.478965581939 14760.790171458948 14801.60054732255
3711.5305633850126 14712.385937903306 14752.585427049267
3713.582161188086 15115.058317254625 15155.520674991043
3715.6337589911595 15533.807163521644 15574.90327957012
3717.685356794233 16138.731944944768 16179.333707155654
3719.736954597307 15583.679207715291 15624.116676563735
3721.7885524003805 16640.570629827598 16681.598448685727
3723.840150203454 16555.605007398506 16596.600106075166
3725.8917480065275 16820.857329705013 16861.430336502555
3727.943345809601 16600.786475692446 16641.41921276681
3729.9949436126744 16883.20595950192 16923.652872755625
3732.046541415748 17201.427136241946 17242.16971924349
3734.0981392188214 17405.72962732212 17446.26418195222
3736.1497370218954 17238.418149103167 17279.121576625603
3738.201334824969 17590.797587641177 17631.718379346476
3740.2529326280423 17623.629633145523 17663.910175779998
3742.304530431116 18013.78982492344 18054.669656456168
3744.3561282341893 18621.659985697723 18661.884636211373
3746.407726037263 18788.643124551025 18829.55583355447
3748.4593238403363 19099.28069499018 19139.75136274426
3750.51092164341 19284.590085345142 19325.808632569464
3752.5625194464837 19533.327426848246 19575.099600573107
3754.6141172495572 19922.103347898486 19963.008466832394
3756.6657150526307 20342.588278702566 20383.502910953193
3758.717312855704 20285.760743467414 20327.122804084644
3760.7689106587777 20469.046950908192 20509.910196992714
3762.820508461851 21602.552283225392 21643.979654080616
3764.8721062649247 21354.209416386588 21395.156764959953
3766.923704067998 21619.760321813672 21660.989980540486
3768.975301871072 22092.7289776159 22134.136206251012
3771.0268996741456 22767.185000348927 22808.80778797105
3773.078497477219 22440.20905016764 22481.441780223162
3775.1300952802926 23157.593561838512 23198.94695477583
3777.181693083366 23258.804324916084 23299.892153272907
3779.2332908864396 23961.83184654161 24003.31135241954
3781.284888689513 24080.136140360024 24122.060176253075
3783.336486492587 24025.16473986108 24066.709104405185
3785.3880842956605 24000.669163599625 24042.028769830766
3787.439682098734 24365.015900317918 24406.552700770146
3789.4912799018075 24257.242180537323 24298.699351566796
3791.542877704881 24135.122975988397 24176.47061991011
3793.5944755079545 24543.998847770934 24585.08580286831
3795.646073311028 23832.705762573467 23873.451983893312
3797.6976711141015 23909.06922222616 23950.280681020686
3799.7492689171754 24602.93794084551 24644.218985579668
3801.800866720249 24449.377766721223 24490.430716608043
3803.8524645233224 25088.59159361722 25129.99601354642
3805.904062326396 25317.779038305438 25358.92050580509
3807.9556601294694 25816.855438824365 25857.856388444867
3810.007257932543 26806.099839932253 26847.059765323644
3812.0588557356164 27573.512834721103 27614.838647948018
3814.11045353869 27729.94737014902 27770.830982216743
3816.162051341764 27939.18353831464 27979.92939252542
